policyholder,contract_date,damage_id,type_of_insurance,damage_date,damage_amount,past_damages,damage_location,involved_persons,fraud
K0723,2022-10-23,S00723,car,2023-10-02,2753,1,Frankfurt,1,False
K0707,2022-06-13,S00707,liability,2022-09-29,2107,2,Essen,3,False
K0513,2022-04-20,S00513,car,2022-10-02,3124,0,Hannover,2,False
K0673,2023-03-08,S00673,contents,2023-08-24,3856,0,Dortmund,1,False
K0408,2023-04-03,S00408,liability,2023-10-31,4960,1,Hannover,2,False
K0173,2021-04-26,S00173,contents,2023-04-07,2836,2,Bremen,1,False
K0280,2023-05-16,S00280,liability,2023-09-20,2832,0,Frankfurt,2,False
K0469,2023-03-29,S00469,liability,2023-08-24,4997,0,Hannover,2,False
K0568,2022-02-23,S00568,liability,2023-04-10,2433,0,Hannover,1,False
K0560,2022-12-17,S00560,liability,2023-09-25,2609,0,Hannover,2,False
K0957,2022-08-01,S00957,contents,2022-08-16,8988,1,Bremen,1,True
K0697,2021-12-05,S00697,car,2023-03-16,4098,0,Dortmund,1,False
K0844,2023-01-04,S00844,liability,2023-02-19,2882,0,Dresden,2,False
K0952,2021-10-14,S00952,contents,2021-10-15,3279,2,Muenchen,2,True
K0874,2021-10-31,S00874,liability,2022-07-17,3655,2,Bremen,2,False
K0076,2022-10-06,S00076,contents,2023-03-21,1145,1,Frankfurt,3,False
K0166,2022-05-07,S00166,contents,2022-09-03,1422,2,Nuernberg,2,False
K0363,2021-12-02,S00363,contents,2023-01-20,4298,0,Dresden,1,False
K0337,2021-09-18,S00337,contents,2023-02-27,1304,1,Duesseldorf,2,False
K0935,2022-12-23,S00935,contents,2023-01-12,7883,1,Dresden,2,True
K0039,2022-07-24,S00039,liability,2023-11-10,2658,1,Nuernberg,2,False
K0726,2023-06-21,S00726,car,2023-10-05,2375,0,Berlin,2,False
K0245,2022-10-14,S00245,liability,2022-11-11,2622,0,Stuttgart,1,False
K0619,2023-03-13,S00619,liability,2023-06-18,3308,2,Muenchen,2,False
K0500,2021-11-13,S00500,contents,2023-04-28,2532,1,Muenchen,2,False
K0370,2022-11-01,S00370,contents,2023-05-06,2581,1,Berlin,3,False
K0453,2022-04-18,S00453,contents,2023-09-11,4490,0,Stuttgart,1,False
K0567,2023-07-22,S00567,car,2023-12-30,2876,0,Muenchen,1,False
K0234,2021-11-18,S00234,car,2023-02-14,2354,0,Frankfurt,1,False
K0399,2021-02-25,S00399,liability,2021-06-11,1750,0,Hamburg,2,False
K0355,2021-10-26,S00355,liability,2022-05-23,3930,0,Hamburg,2,False
K0123,2022-03-11,S00123,liability,2022-12-10,4030,0,Muenchen,1,False
K0945,2021-06-08,S00945,car,2021-06-18,7664,3,Duesseldorf,3,True
K0799,2022-04-05,S00799,liability,2022-08-18,521,1,Leipzig,2,False
K0029,2022-01-27,S00029,liability,2022-11-18,2476,0,Muenchen,2,False
K0831,2022-11-08,S00831,contents,2023-06-21,658,1,Nuernberg,1,False
K0534,2022-06-20,S00534,car,2023-10-30,1963,1,Nuernberg,2,False
K0636,2021-09-03,S00636,car,2022-01-06,2564,1,Duesseldorf,2,False
K0595,2021-05-29,S00595,car,2021-06-28,817,0,Essen,3,False
K0570,2023-08-25,S00570,liability,2023-10-26,4181,0,Stuttgart,3,False
K0253,2022-07-21,S00253,car,2022-12-31,4620,0,Hannover,1,False
K0404,2022-11-14,S00404,contents,2023-04-23,2285,1,Dresden,1,False
K0436,2023-04-09,S00436,liability,2023-04-17,1841,0,Frankfurt,1,False
K0928,2022-01-29,S00928,car,2022-02-10,4881,3,Berlin,2,True
K0083,2022-01-21,S00083,car,2023-03-15,1641,0,Dortmund,3,False
K0254,2023-01-30,S00254,car,2023-03-19,2490,1,Muenchen,1,False
K0474,2022-04-03,S00474,contents,2022-11-20,3723,1,Hannover,2,False
K0032,2021-04-30,S00032,contents,2023-09-09,4096,2,Hannover,1,False
K0973,2022-07-27,S00973,contents,2022-08-01,8475,3,Frankfurt,2,True
K0578,2022-06-12,S00578,car,2023-09-28,4635,1,Berlin,2,False
K0162,2021-10-25,S00162,contents,2022-02-23,1702,0,Duesseldorf,1,False
K0394,2022-08-29,S00394,car,2023-07-27,4350,2,Nuernberg,2,False
K0775,2021-12-19,S00775,contents,2022-05-26,927,0,Bremen,1,False
K0717,2022-03-09,S00717,car,2023-08-02,1192,1,Frankfurt,2,False
K0675,2023-05-14,S00675,liability,2023-11-14,538,2,Hannover,2,False
K0674,2023-07-14,S00674,car,2023-09-27,1015,0,Hamburg,1,False
K0079,2022-04-07,S00079,contents,2023-09-11,3051,1,Muenchen,1,False
K0158,2022-05-12,S00158,car,2023-02-16,3610,1,Stuttgart,1,False
K0865,2021-08-28,S00865,liability,2022-10-28,2840,0,Hamburg,2,False
K0896,2022-03-16,S00896,car,2023-07-24,3391,1,Hannover,2,False
K0505,2023-01-17,S00505,car,2023-09-16,2271,0,Dresden,1,False
K0193,2022-11-25,S00193,car,2023-03-30,4606,0,Dortmund,2,False
K0768,2021-10-15,S00768,car,2023-01-26,589,2,Leipzig,2,False
K0693,2021-09-30,S00693,liability,2023-04-18,4679,0,Berlin,1,False
K0982,2022-02-11,S00982,car,2022-02-20,3662,1,Essen,2,True
K0241,2022-10-26,S00241,car,2023-05-11,4712,1,Nuernberg,2,False
K0927,2021-03-20,S00927,car,2021-04-12,7683,1,Muenchen,3,True
K0045,2022-10-26,S00045,liability,2023-08-29,3239,2,Stuttgart,1,False
K0960,2022-11-12,S00960,car,2022-11-20,7769,1,Bremen,1,True
K0892,2021-12-28,S00892,car,2022-05-17,1129,2,Nuernberg,1,False
K0716,2021-08-27,S00716,contents,2021-11-07,1459,0,Muenchen,2,False
K0470,2022-12-12,S00470,liability,2023-05-03,1966,2,Bremen,1,False
K0734,2022-05-08,S00734,liability,2023-07-07,4288,1,Stuttgart,1,False
K0377,2023-01-03,S00377,car,2023-06-27,1109,0,Hannover,2,False
K0937,2022-06-07,S00937,contents,2022-06-23,7673,2,Leipzig,2,True
K0048,2022-11-25,S00048,contents,2023-04-11,2475,2,Duesseldorf,1,False
K0256,2022-11-12,S00256,contents,2022-11-14,4880,1,Hamburg,1,False
K0177,2022-05-27,S00177,contents,2023-03-13,2365,2,Duesseldorf,2,False
K0062,2021-09-09,S00062,contents,2023-09-23,2897,0,Hamburg,1,False
K0857,2022-11-16,S00857,car,2023-04-18,3414,2,Hannover,1,False
K0542,2022-12-27,S00542,liability,2023-10-24,4821,0,Nuernberg,2,False
K0677,2023-08-22,S00677,car,2023-12-26,1386,0,Dortmund,1,False
K0298,2022-12-08,S00298,contents,2023-02-23,554,2,Hannover,2,False
K0130,2022-02-01,S00130,liability,2023-05-05,4350,0,Hannover,3,False
K0885,2021-06-22,S00885,contents,2022-12-26,2546,0,Essen,1,False
K0918,2022-01-02,S00918,contents,2022-01-16,5410,1,Muenchen,1,True
K0510,2023-03-25,S00510,liability,2023-09-18,3930,1,Dortmund,2,False
K0357,2021-11-21,S00357,liability,2022-10-28,3041,2,Essen,3,False
K0732,2022-08-03,S00732,contents,2023-08-25,1083,2,Essen,3,False
K0682,2022-04-09,S00682,contents,2023-07-20,3701,1,Muenchen,2,False
K0018,2023-09-04,S00018,contents,2023-10-16,864,2,Duesseldorf,1,False
K0233,2022-10-27,S00233,contents,2023-02-01,3572,1,Stuttgart,2,False
K0642,2022-10-22,S00642,contents,2023-10-15,4402,1,Leipzig,1,False
K0853,2022-08-01,S00853,car,2023-04-03,4214,2,Essen,3,False
K0396,2022-11-24,S00396,contents,2023-09-13,1636,2,Muenchen,1,False
K0964,2022-12-16,S00964,car,2023-01-12,8269,2,Stuttgart,1,True
K0106,2022-11-21,S00106,car,2023-03-21,1842,0,Dresden,2,False
K0046,2023-05-19,S00046,contents,2023-12-25,2261,2,Hannover,1,False
K0634,2023-06-09,S00634,contents,2023-12-25,2190,1,Hannover,1,False
K0212,2022-07-27,S00212,liability,2023-09-21,4951,1,Nuernberg,1,False
K0506,2022-01-22,S00506,car,2022-03-08,1762,2,Essen,3,False
K0608,2022-10-12,S00608,liability,2023-03-24,2639,2,Dresden,2,False
K0452,2023-08-30,S00452,contents,2023-12-04,900,2,Nuernberg,1,False
K0522,2021-12-05,S00522,contents,2023-04-04,931,1,Essen,1,False
K0784,2023-02-22,S00784,liability,2023-09-06,1052,0,Bremen,1,False
K0779,2021-07-28,S00779,car,2022-08-28,2425,0,Stuttgart,3,False
K0670,2021-09-29,S00670,car,2023-08-10,4109,1,Duesseldorf,2,False
K0201,2023-02-25,S00201,contents,2023-05-14,862,1,Stuttgart,2,False
K0575,2023-08-12,S00575,car,2023-12-17,1718,0,Dortmund,2,False
K0580,2022-08-16,S00580,car,2023-12-23,1918,1,Hannover,1,False
K0222,2022-09-12,S00222,contents,2022-10-01,3867,1,Frankfurt,2,False
K0869,2022-06-13,S00869,liability,2022-10-21,2025,0,Duesseldorf,2,False
K0751,2022-03-17,S00751,car,2023-08-14,4262,1,Bremen,1,False
K0807,2021-05-19,S00807,contents,2023-01-14,2060,2,Stuttgart,1,False
K0803,2023-03-20,S00803,contents,2023-09-06,4609,1,Muenchen,2,False
K0226,2022-11-10,S00226,contents,2023-01-01,3361,0,Hannover,3,False
K0602,2022-10-29,S00602,car,2023-06-12,2496,1,Nuernberg,1,False
K0943,2022-11-04,S00943,car,2022-11-29,4409,3,Dresden,3,True
K0631,2022-07-02,S00631,contents,2023-12-23,794,0,Nuernberg,2,False
K0846,2022-10-18,S00846,liability,2023-06-09,3479,0,Essen,2,False
K0148,2023-02-22,S00148,car,2023-03-02,1492,1,Hamburg,1,False
K0882,2021-05-19,S00882,car,2023-05-29,2613,1,Frankfurt,1,False
K0384,2023-07-23,S00384,liability,2023-08-29,3181,0,Stuttgart,2,False
K0949,2022-04-28,S00949,car,2022-05-11,5660,2,Leipzig,1,True
K0514,2021-10-29,S00514,car,2023-08-31,4260,1,Berlin,1,False
K0551,2023-10-12,S00551,car,2023-11-01,1226,1,Frankfurt,2,False
K0800,2022-09-24,S00800,contents,2022-11-02,909,2,Dortmund,2,False
K0219,2022-11-21,S00219,car,2023-07-20,3949,1,Essen,1,False
K0016,2022-02-17,S00016,contents,2022-11-16,2625,1,Hannover,1,False
K0352,2021-05-22,S00352,liability,2022-05-04,4533,0,Duesseldorf,1,False
K0403,2022-09-12,S00403,liability,2023-07-29,3211,1,Stuttgart,2,False
K0709,2022-05-17,S00709,liability,2023-06-29,4176,0,Dresden,3,False
K0410,2021-10-23,S00410,car,2023-08-20,653,1,Duesseldorf,2,False
K0120,2023-06-25,S00120,car,2023-07-16,4929,0,Stuttgart,2,False
K0325,2022-11-06,S00325,contents,2023-04-24,4195,1,Duesseldorf,2,False
K0239,2021-11-02,S00239,liability,2023-09-24,701,2,Duesseldorf,2,False
K0358,2021-08-13,S00358,contents,2023-02-11,2551,1,Berlin,2,False
K0144,2022-07-28,S00144,car,2023-08-22,1818,1,Dortmund,2,False
K0700,2023-09-13,S00700,liability,2023-10-24,2355,1,Dresden,1,False
K0119,2023-03-16,S00119,contents,2023-11-21,2469,0,Nuernberg,2,False
K0432,2021-09-25,S00432,car,2023-04-03,829,1,Duesseldorf,2,False
K0345,2022-11-05,S00345,car,2022-11-24,4723,0,Dresden,2,False
K0804,2023-05-07,S00804,contents,2023-10-13,2634,1,Dortmund,1,False
K0941,2021-12-29,S00941,contents,2022-01-21,9133,3,Duesseldorf,3,True
K0990,2021-06-08,S00990,contents,2021-06-29,8874,1,Frankfurt,2,True
K0617,2021-07-18,S00617,liability,2023-04-26,1056,1,Nuernberg,2,False
K0683,2021-09-19,S00683,car,2023-08-21,3655,1,Stuttgart,2,False
K0997,2022-05-25,S00997,contents,2022-06-07,3911,2,Hannover,2,True
K0175,2023-06-09,S00175,car,2023-08-07,3145,0,Bremen,2,False
K0781,2022-08-19,S00781,car,2023-09-06,3644,0,Essen,1,False
K0742,2021-04-18,S00742,liability,2021-07-20,4066,0,Essen,2,False
K0451,2021-10-06,S00451,car,2022-12-25,3859,0,Hannover,3,False
K0202,2021-11-20,S00202,car,2022-03-01,2943,1,Stuttgart,1,False
K0762,2022-11-06,S00762,car,2023-12-01,3348,0,Berlin,3,False
K0217,2023-03-02,S00217,liability,2023-04-23,3556,2,Essen,3,False
K0257,2023-11-05,S00257,car,2023-12-04,4658,0,Bremen,2,False
K0650,2021-08-22,S00650,liability,2022-02-09,1765,2,Essen,2,False
K0919,2021-10-15,S00919,car,2021-10-20,8402,3,Stuttgart,1,True
K0607,2022-01-04,S00607,contents,2022-11-07,3739,2,Leipzig,3,False
K0782,2023-04-08,S00782,contents,2023-04-23,2770,2,Frankfurt,1,False
K0769,2022-10-01,S00769,liability,2022-10-25,2209,1,Leipzig,1,False
K0429,2023-06-06,S00429,liability,2023-08-29,3615,1,Essen,1,False
K0668,2022-01-20,S00668,car,2022-03-19,3494,2,Nuernberg,1,False
K0877,2022-04-26,S00877,contents,2023-02-21,3716,0,Hamburg,1,False
K0303,2021-12-16,S00303,car,2022-12-19,4908,0,Stuttgart,1,False
K0843,2022-04-23,S00843,contents,2023-05-12,3125,2,Muenchen,1,False
K0772,2021-08-31,S00772,car,2022-11-16,3541,0,Muenchen,1,False
K0185,2023-02-14,S00185,car,2023-04-30,4256,2,Duesseldorf,2,False
K0336,2022-07-05,S00336,car,2023-03-13,2055,2,Dresden,1,False
K0237,2021-03-13,S00237,contents,2023-07-05,4002,1,Hannover,1,False
K0816,2022-12-24,S00816,liability,2023-10-10,2856,2,Duesseldorf,3,False
K0261,2022-04-15,S00261,contents,2022-10-17,1466,2,Hannover,3,False
K0776,2022-11-22,S00776,liability,2023-02-18,2395,1,Dortmund,2,False
K0612,2021-07-20,S00612,car,2022-01-16,2216,1,Hannover,2,False
K0376,2021-12-19,S00376,car,2022-03-10,4763,1,Leipzig,2,False
K0635,2022-10-02,S00635,car,2023-08-11,1636,2,Frankfurt,2,False
K0279,2021-09-05,S00279,car,2022-10-02,3217,0,Stuttgart,1,False
K0040,2023-01-22,S00040,car,2023-12-06,4706,1,Berlin,2,False
K0291,2023-01-01,S00291,car,2023-12-17,1446,0,Dresden,2,False
K0359,2022-10-30,S00359,car,2023-03-03,941,0,Nuernberg,1,False
K0203,2022-10-11,S00203,contents,2023-06-23,2765,1,Bremen,1,False
K0300,2021-07-12,S00300,liability,2023-03-02,3962,1,Nuernberg,1,False
K0050,2022-02-28,S00050,contents,2022-07-25,1376,2,Stuttgart,3,False
K0169,2023-04-05,S00169,contents,2023-08-02,3097,2,Hamburg,2,False
K0582,2023-03-07,S00582,liability,2023-10-30,1483,2,Hannover,2,False
K0598,2022-12-24,S00598,liability,2023-11-16,3245,2,Dortmund,2,False
K0763,2021-05-11,S00763,contents,2022-01-27,4544,1,Bremen,2,False
K0676,2022-10-09,S00676,car,2023-06-02,3842,1,Leipzig,2,False
K0516,2022-10-28,S00516,liability,2023-03-08,4000,1,Stuttgart,3,False
K0372,2022-12-21,S00372,liability,2023-11-28,841,0,Duesseldorf,3,False
K0861,2023-03-21,S00861,liability,2023-03-26,1439,1,Hamburg,1,False
K0639,2022-02-07,S00639,liability,2023-05-30,3014,1,Leipzig,2,False
K0959,2021-07-12,S00959,car,2021-07-28,6981,2,Hamburg,1,True
K0788,2022-08-29,S00788,car,2023-08-11,3889,1,Hannover,1,False
K0504,2021-08-23,S00504,car,2023-03-06,4011,1,Essen,1,False
K0412,2023-08-13,S00412,contents,2023-09-23,2620,1,Leipzig,2,False
K0102,2022-03-10,S00102,liability,2022-05-25,2560,0,Frankfurt,2,False
K0005,2022-12-20,S00005,car,2023-08-04,4643,0,Muenchen,2,False
K0558,2021-11-19,S00558,liability,2022-11-08,3237,1,Nuernberg,1,False
K0179,2021-06-15,S00179,car,2023-02-07,3353,2,Frankfurt,2,False
K0977,2022-06-24,S00977,car,2022-07-20,5988,3,Bremen,2,True
K0995,2022-07-20,S00995,contents,2022-07-31,7805,2,Dresden,2,True
K0454,2021-08-02,S00454,car,2023-07-10,3657,0,Essen,2,False
K0543,2022-01-06,S00543,car,2022-09-20,1324,2,Muenchen,2,False
K0042,2022-03-17,S00042,liability,2023-06-28,4507,1,Frankfurt,3,False
K0449,2022-01-23,S00449,car,2022-11-29,988,0,Stuttgart,2,False
K0879,2022-03-16,S00879,contents,2022-10-06,4428,1,Hamburg,1,False
K0829,2022-07-03,S00829,contents,2023-08-01,1402,2,Bremen,2,False
K0411,2021-11-27,S00411,contents,2023-04-06,2024,1,Duesseldorf,2,False
K0761,2022-03-20,S00761,car,2022-07-08,501,2,Stuttgart,1,False
K0398,2022-11-21,S00398,liability,2023-03-23,3354,1,Muenchen,1,False
K0168,2022-03-11,S00168,car,2023-04-06,2704,2,Dortmund,1,False
K0423,2022-05-14,S00423,car,2023-12-21,671,2,Hamburg,2,False
K0033,2022-06-16,S00033,contents,2023-06-19,3783,1,Bremen,3,False
K0688,2023-01-02,S00688,contents,2023-10-24,3953,1,Dresden,2,False
K0572,2021-10-26,S00572,liability,2022-08-25,2140,1,Muenchen,2,False
K0579,2022-01-06,S00579,contents,2023-12-24,2060,2,Bremen,3,False
K0895,2022-02-10,S00895,contents,2022-12-10,2493,1,Frankfurt,1,False
K0950,2021-09-10,S00950,car,2021-10-02,5172,3,Duesseldorf,1,True
K0118,2022-07-01,S00118,liability,2023-08-11,735,1,Bremen,2,False
K0801,2022-06-19,S00801,contents,2023-03-28,1394,1,Duesseldorf,2,False
K0402,2021-11-24,S00402,liability,2021-12-03,4650,0,Muenchen,3,False
K0601,2023-04-03,S00601,liability,2023-04-29,4430,0,Essen,1,False
K0496,2022-01-30,S00496,contents,2023-10-13,3712,2,Hannover,1,False
K0485,2022-05-15,S00485,contents,2023-10-06,4611,2,Essen,1,False
K0379,2023-01-11,S00379,liability,2023-06-07,3453,0,Frankfurt,1,False
K0350,2022-12-23,S00350,liability,2023-04-20,3073,0,Stuttgart,1,False
K0512,2022-05-19,S00512,liability,2023-05-15,4984,0,Muenchen,3,False
K0054,2023-01-02,S00054,contents,2023-04-25,1960,0,Hannover,1,False
K0934,2022-05-02,S00934,contents,2022-05-07,8807,3,Berlin,2,True
K0035,2021-07-05,S00035,contents,2023-04-02,566,0,Dresden,1,False
K0310,2023-01-11,S00310,car,2023-05-20,3554,2,Hannover,2,False
K0281,2023-01-26,S00281,liability,2023-12-30,3876,1,Berlin,2,False
K0540,2021-08-01,S00540,contents,2023-06-30,1889,0,Dortmund,1,False
K0043,2021-08-16,S00043,car,2023-12-23,2972,0,Dortmund,1,False
K0780,2023-11-27,S00780,car,2023-12-06,2556,0,Nuernberg,3,False
K0278,2023-07-09,S00278,car,2023-12-17,2579,0,Hamburg,2,False
K0455,2021-11-11,S00455,liability,2022-02-19,4845,2,Hannover,1,False
K0855,2023-09-05,S00855,contents,2023-12-30,4123,2,Leipzig,1,False
K0210,2022-02-18,S00210,car,2023-11-23,3230,2,Dresden,3,False
K0415,2021-12-31,S00415,car,2023-10-24,560,1,Hannover,1,False
K0774,2022-08-25,S00774,car,2022-09-15,1386,2,Berlin,1,False
K0238,2021-07-19,S00238,liability,2022-06-01,1832,0,Leipzig,2,False
K0128,2022-11-05,S00128,liability,2023-12-14,3465,2,Dresden,3,False
K0287,2022-06-11,S00287,contents,2023-09-06,3557,1,Leipzig,1,False
K0149,2021-05-07,S00149,car,2021-06-11,3212,1,Frankfurt,1,False
K0139,2022-08-03,S00139,car,2023-08-12,1565,0,Berlin,3,False
K0489,2021-08-26,S00489,car,2023-09-15,810,1,Dortmund,1,False
K0975,2021-04-17,S00975,car,2021-04-30,5776,1,Bremen,2,True
K0823,2021-11-13,S00823,contents,2022-02-14,3420,1,Frankfurt,2,False
K0001,2021-09-21,S00001,car,2022-07-21,2761,0,Dresden,3,False
K0876,2023-04-08,S00876,car,2023-09-23,4314,2,Dresden,1,False
K0095,2022-03-14,S00095,car,2023-05-14,4244,1,Muenchen,3,False
K0397,2023-01-30,S00397,liability,2023-04-30,686,2,Berlin,2,False
K0526,2021-05-22,S00526,liability,2021-12-14,1463,1,Nuernberg,2,False
K0592,2022-07-28,S00592,contents,2022-12-11,4536,0,Nuernberg,3,False
K0818,2023-02-02,S00818,liability,2023-11-06,806,2,Dresden,2,False
K0301,2022-01-26,S00301,car,2023-02-05,3579,1,Nuernberg,3,False
K0625,2023-01-03,S00625,contents,2023-10-02,2629,2,Hamburg,2,False
K0107,2022-03-03,S00107,liability,2023-07-30,2876,2,Dortmund,3,False
K0458,2021-05-17,S00458,contents,2023-12-09,4930,0,Muenchen,1,False
K0180,2022-02-22,S00180,car,2022-11-29,3728,2,Dresden,1,False
K0022,2023-03-25,S00022,contents,2023-06-18,2031,0,Nuernberg,1,False
K0186,2023-02-10,S00186,liability,2023-06-22,4725,2,Berlin,2,False
K0364,2023-01-18,S00364,liability,2023-09-22,1304,1,Essen,2,False
K0958,2021-02-06,S00958,car,2021-03-06,4751,3,Hannover,3,True
K0730,2021-11-05,S00730,liability,2023-12-10,616,1,Bremen,3,False
K0672,2021-04-06,S00672,car,2023-09-15,1953,2,Duesseldorf,1,False
K0471,2022-02-06,S00471,contents,2023-01-19,4061,1,Dortmund,1,False
K0600,2022-02-12,S00600,car,2022-06-10,3611,0,Frankfurt,2,False
K0739,2022-02-01,S00739,contents,2023-05-27,2513,2,Essen,1,False
K0025,2021-12-30,S00025,car,2022-03-18,3586,1,Frankfurt,2,False
K0712,2021-07-05,S00712,car,2021-11-27,1090,2,Hamburg,3,False
K0053,2022-12-22,S00053,car,2023-04-17,1812,1,Leipzig,3,False
K0060,2021-05-31,S00060,contents,2023-10-29,3921,0,Berlin,1,False
K0842,2023-02-05,S00842,liability,2023-08-28,4311,1,Leipzig,3,False
K0276,2023-01-14,S00276,liability,2023-10-27,1222,0,Muenchen,2,False
K0218,2021-10-31,S00218,car,2022-11-10,1103,0,Bremen,1,False
K0884,2022-01-02,S00884,contents,2022-04-05,4856,2,Muenchen,3,False
